hour,traffic,weather,events,demand
0,9,3,1,51
7,2,3,0,425
20,1,2,0,71
11,2,2,1,420
11,7,3,0,362
4,3,1,0,377
6,2,2,1,56
3,7,1,0,255
5,2,1,1,489
12,3,2,0,424
19,7,2,0,163
14,4,1,1,321
2,1,1,1,132
22,5,3,0,228
7,9,3,1,259
19,8,2,0,377
15,9,3,0,173
12,9,3,1,162
17,7,3,0,61
9,4,3,0,175
18,5,1,1,102
16,1,2,1,380
23,1,3,0,438
18,3,1,1,332
22,8,1,1,189
4,2,1,1,450
20,4,3,1,439
22,2,3,0,146
8,5,2,0,54
11,9,3,0,106
20,1,3,1,461
0,5,1,1,383
0,9,2,1,118
14,1,3,1,167
1,9,3,1,425
21,8,1,1,108
15,4,1,1,82
7,5,3,0,367
12,5,2,0,99
20,6,2,1,417
0,7,1,1,68
15,8,1,1,263
6,8,3,0,246
4,2,1,0,428
21,9,3,1,499
22,7,2,1,96
2,4,2,0,216
11,4,3,0,338
15,8,1,0,190
18,4,2,0,133
4,6,1,1,231
21,5,2,0,440
13,3,3,0,128
4,2,3,1,264
14,9,3,0,63
16,9,2,0,264
13,1,1,0,452
19,3,1,1,177
4,8,1,0,359
11,6,2,1,297
15,5,2,1,453
15,5,2,0,78
20,6,2,0,329
6,7,2,0,387
3,1,1,0,368
0,9,2,1,251
4,3,2,0,410
22,4,1,0,106
9,1,2,0,441
21,3,1,1,267
4,2,1,0,111
3,2,3,0,206
1,1,3,1,251
19,8,3,1,66
9,3,3,0,371
18,3,2,0,55
0,6,3,0,107
23,8,1,0,374
4,9,2,0,461
12,9,3,1,367
3,4,1,1,218
15,5,2,0,131
23,2,2,0,474
15,9,3,1,482
22,8,2,0,268
1,3,1,0,226
16,9,2,0,253
19,3,1,0,120
23,9,2,0,436
11,2,3,1,315
17,9,1,0,147
2,8,2,0,394
0,9,2,0,340
0,5,2,1,257
18,2,1,1,51
10,8,1,1,173
4,6,1,1,329
11,8,3,0,123
2,5,3,1,215
0,2,1,0,71
0,6,2,0,203
7,5,3,1,476
9,5,1,1,488
10,1,2,1,344
11,2,3,1,268
12,8,2,1,206
11,3,2,0,279
13,3,2,1,69
1,8,2,1,90
18,8,3,1,487
17,2,3,0,197
2,8,3,1,157
22,1,1,0,452
16,6,3,1,133
7,8,2,1,416
9,3,3,0,371
1,8,2,1,463
18,1,1,0,358
8,9,2,0,339
6,9,2,0,455
3,5,2,1,372
20,4,1,1,183
17,6,3,1,256
12,7,3,0,332
10,5,1,1,315
23,9,2,0,122
3,3,3,1,401
20,7,1,0,97
3,5,3,0,375
9,7,1,0,282
4,2,2,1,492
8,4,3,0,149
23,2,1,0,108
2,7,3,0,307
16,2,3,0,462
2,1,3,0,114
15,9,3,0,132
3,1,1,1,203
17,8,2,1,315
16,2,1,0,358
6,8,1,1,128
23,3,1,1,364
22,6,2,0,199
4,3,3,0,484
11,7,3,0,97
16,9,3,1,454
22,2,2,0,428
12,5,3,1,297
22,6,2,0,327
2,4,3,1,405
8,4,3,0,147
16,4,1,0,463
16,2,2,1,74
19,4,1,1,333
15,1,1,1,498
21,6,1,1,418
12,1,2,1,350
18,6,2,1,117
16,1,3,0,56
3,6,1,1,354
11,8,3,0,186
8,2,1,0,213
18,2,2,1,132
11,4,2,0,434
8,3,2,1,187
6,4,1,1,469
13,7,2,0,122
19,1,1,0,286
18,6,3,1,95
14,3,1,1,155
15,7,3,0,465
20,2,1,0,337
4,2,3,0,311
2,4,2,0,225
11,1,3,1,215
19,3,2,1,194
20,9,2,1,379
3,7,3,1,419
20,7,1,0,332
22,4,1,0,103
15,2,1,1,227
6,4,1,1,468
12,6,1,1,293
20,3,2,1,390
9,1,1,1,176
6,8,2,1,458
13,5,2,1,461
4,5,2,1,416
2,4,3,1,320
22,6,3,0,181
10,3,2,1,142
10,9,3,0,428
17,5,1,0,122
14,3,1,1,460
11,1,2,1,459
8,6,1,0,452
9,2,2,0,297
11,3,2,1,397
16,1,1,0,322
5,9,3,1,92
6,8,1,1,426
13,2,1,1,90
12,8,2,0,219
7,9,2,0,483
9,1,2,1,261
8,5,2,0,217
17,8,3,0,88
1,2,3,0,418
4,4,3,0,294
4,7,2,0,200
5,3,2,0,160
18,5,2,0,485
7,8,3,1,96
15,3,2,0,112
12,4,1,0,274
0,9,1,0,415
21,7,2,0,118
19,1,1,0,348
16,4,1,0,481
6,4,3,0,339
12,9,2,0,345
3,6,2,1,252
3,9,3,0,110
5,6,1,0,483
18,6,1,0,367
11,5,2,0,363
21,5,1,1,210
6,2,3,1,380
9,8,3,1,65
18,8,2,1,387
6,1,3,1,143
2,8,3,1,353
12,5,2,1,187
12,2,3,1,387
17,2,3,1,87
19,6,3,1,176
7,9,1,1,324
8,1,2,1,213
6,6,2,1,492
0,9,2,1,368
2,8,1,1,126
12,6,1,1,223
16,3,2,0,436
23,8,1,1,407
0,9,2,0,370
5,1,1,1,425
20,9,3,1,140
5,6,3,0,287
11,6,2,1,313
12,4,1,0,228
12,1,1,0,258
14,8,3,0,122
20,2,3,1,439
15,1,1,1,156
21,2,1,1,394
20,1,1,0,344
10,1,1,0,418
4,9,1,1,493
3,1,1,1,333
2,4,2,1,402
18,6,1,1,231
19,7,3,1,86
17,2,2,0,186
14,6,1,0,387
8,7,3,0,105
16,2,2,1,236
13,2,3,0,390
14,7,1,0,307
0,1,1,0,494
20,8,1,0,107
21,3,1,0,412
21,6,2,1,172
2,9,2,0,237
15,6,3,1,279
22,9,1,1,217
10,7,3,1,469
11,9,2,1,163
9,2,1,1,301
15,8,1,0,156
7,8,2,0,86
5,2,2,1,384
11,4,2,1,141
23,7,2,1,67
20,4,2,0,403
7,4,1,1,112
3,6,2,0,199
7,6,1,1,188
17,3,1,0,235
4,9,2,1,234
8,2,2,0,254
3,6,1,1,309
21,7,2,0,263
16,9,2,0,305
8,3,2,0,184
0,3,3,0,110
20,7,1,0,412
19,4,3,0,359
12,8,2,0,137
15,7,3,1,373
12,5,2,1,256
13,7,3,1,178
2,3,2,1,360
5,2,3,1,52
17,6,3,0,471
18,2,3,0,291
4,3,1,0,170
14,6,3,0,434
1,5,1,0,151
9,8,2,1,87
23,9,3,1,390
17,3,2,1,462
12,3,2,1,182
4,3,3,0,251
22,6,1,0,397
23,1,3,0,70
0,7,2,1,291
21,1,2,0,158
0,5,3,1,352
17,8,1,0,133
14,4,1,0,132
16,5,2,1,340
10,4,2,0,118
20,4,1,0,178
21,8,3,1,245
16,2,2,0,189
12,1,1,1,493
0,3,2,0,332
1,9,3,0,361
8,4,1,0,283
2,5,2,0,72
0,2,3,0,202
20,4,2,0,326
15,2,3,0,110
22,2,3,0,368
5,4,1,1,427
16,6,3,1,101
4,7,2,0,393
4,3,3,0,202
5,3,3,1,286
2,6,1,0,360
20,3,3,0,351
22,2,3,1,81
4,8,2,0,104
20,5,1,0,401
4,1,1,1,438
9,3,1,0,85
9,8,3,0,159
18,4,1,1,226
16,7,3,0,411
20,2,3,1,363
13,7,2,0,344
8,5,2,0,385
13,5,2,1,146
0,6,2,1,418
18,9,2,0,262
12,6,3,1,366
12,8,3,1,186
3,7,1,0,55
0,9,3,0,158
16,4,3,0,84
7,2,2,1,88
1,7,3,1,199
7,6,2,1,474
6,1,1,1,167
1,9,1,0,310
21,9,3,1,475
21,2,1,0,136
2,3,3,1,125
17,5,1,0,463
11,5,2,0,362
0,1,2,0,432
21,8,2,1,263
11,8,2,0,334
4,4,3,0,288
16,7,1,1,214
15,3,3,0,136
14,6,2,1,190
22,9,3,1,209
14,1,1,0,95
4,5,3,0,421
20,4,1,1,161
13,8,3,0,456
1,1,1,1,94
10,9,1,1,450
18,6,2,1,296
6,4,1,0,153
5,9,2,1,134
1,5,2,0,499
5,5,2,0,183
17,5,3,0,157
1,1,3,0,67
17,1,3,1,143
14,8,3,0,199
18,8,1,1,295
1,6,1,1,338
19,4,3,0,463
5,2,1,1,258
0,2,1,1,175
23,9,2,0,284
14,5,2,1,465
22,4,2,1,475
9,1,2,1,171
18,7,1,1,187
16,3,3,0,164
4,6,1,1,469
3,5,1,1,211
9,5,1,1,250
23,5,2,1,283
16,1,2,0,77
9,1,2,1,60
16,3,3,0,255
19,4,1,1,216
23,5,3,0,296
4,2,2,0,96
1,8,3,0,295
5,2,1,0,176
20,9,1,0,196
1,2,2,1,167
12,9,2,1,448
10,7,3,1,431
10,8,2,0,461
15,2,2,1,201
10,7,1,0,121
18,6,2,0,412
14,4,2,1,186
22,7,1,1,224
22,4,1,0,338
15,2,3,0,495
10,7,2,1,68
21,8,1,1,244
15,2,3,1,379
7,5,3,1,473
3,1,2,0,224
7,7,2,1,498
3,8,3,1,462
23,6,1,1,483
2,5,3,0,403
2,6,2,0,190
17,2,1,0,295
18,1,1,0,434
18,7,3,1,467
20,7,2,0,142
4,2,3,1,481
17,2,3,1,288
9,1,3,1,254
21,8,1,1,97
20,8,1,0,482
5,1,2,0,294
0,8,2,0,369
4,9,3,1,366
8,4,3,1,462
11,1,3,1,344
13,1,2,1,177
1,3,1,1,393
16,5,1,0,331
13,5,3,1,66
12,9,3,0,120
8,2,3,1,318
14,2,3,1,374
21,6,2,0,331
14,9,1,0,354
23,1,3,1,56
10,9,2,1,363
15,9,3,1,354
16,9,3,1,152
3,5,1,0,358
0,9,3,1,242
7,4,1,0,290
16,2,1,1,111
2,6,1,0,66
19,4,2,0,220
14,6,2,1,74
14,3,1,0,300
23,6,3,1,302
21,2,1,0,436
13,2,3,1,256
22,9,1,0,78
13,7,3,1,166
23,3,2,1,465
1,1,3,0,331
12,8,1,0,429
13,6,2,0,193
23,7,3,0,74
18,9,3,1,359
6,5,3,0,205
2,1,3,1,122
14,7,3,0,169
22,5,2,1,361
13,3,2,1,370
10,9,2,1,142
14,1,2,1,135
12,1,1,0,385
17,1,2,0,474
5,3,3,1,413
2,6,3,0,484
18,3,2,0,167
14,8,3,1,282
22,2,2,0,248
4,9,3,0,255
9,3,1,0,462
6,5,1,1,388
16,8,2,0,196
6,2,2,1,499
21,6,2,0,474
11,5,3,0,478
16,9,2,0,320
12,5,1,1,436
19,2,3,1,188
3,5,2,0,230
9,4,3,1,479
2,7,3,0,79
8,6,2,1,106
12,2,3,1,281
17,5,1,0,195
14,7,1,0,484
3,7,3,0,433
14,5,2,0,97
21,9,3,1,243
1,4,1,1,273
14,3,3,1,185
7,4,3,0,71
7,5,1,0,55
16,6,3,1,253
11,3,3,0,288
18,2,2,1,234
9,4,2,1,409
8,5,1,1,341
4,4,1,1,384
5,3,1,1,269
19,8,2,0,165
1,4,1,0,362
23,2,1,0,98
12,2,1,1,222
5,1,2,1,131
4,4,3,1,371
0,9,1,1,382
20,7,3,0,94
21,7,1,0,384
20,7,3,1,69
5,8,2,1,497
5,1,2,1,270
22,8,1,0,172
15,4,3,0,283
3,4,2,0,270
10,4,1,1,372
23,6,1,1,388
22,7,2,0,52
8,6,2,1,231
22,1,1,0,255
2,8,3,1,369
18,7,3,0,89
7,6,3,1,108
4,6,1,0,488
3,5,2,0,111
23,6,1,0,181
5,9,2,0,109
1,9,3,0,421
19,8,3,0,380
10,9,2,1,171
3,8,2,1,156
14,8,1,1,145
5,1,3,0,396
21,5,1,0,463
16,4,1,1,284
23,2,1,0,435
5,8,3,0,111
18,3,1,0,305
1,4,1,0,98
14,7,1,0,442
10,9,1,1,397
7,2,1,1,208
18,3,1,1,173
12,4,3,1,366
11,1,1,1,256
4,7,2,0,97
5,2,1,0,458
21,5,1,0,469
3,1,3,0,185
18,3,3,1,250
19,2,2,1,299
0,1,2,1,363
19,7,3,0,406
16,5,3,1,417
11,1,1,0,478
